target_name,target_x,target_y,target_z,controller,done,truncated,steps,final_distance,final_speed,mean_torque_norm,peak_torque_norm
T1_reference,1.15,0.45,0.55,PID,True,False,192,5.973847182442e-03,7.908290501676e-02,2.250390279734e+01,8.972908521135e+01
T1_reference,1.15,0.45,0.55,PID_gains_flous,True,False,204,1.947834040343e-03,7.969102710911e-02,2.281874083380e+01,9.421625508099e+01
T2_lateral_bas,1.45,-0.35,0.35,PID,True,False,175,9.957301279230e-03,6.381488910789e-02,2.235176582580e+01,6.067833972661e+01
T2_lateral_bas,1.45,-0.35,0.35,PID_gains_flous,True,False,199,3.099514559661e-03,7.863658875409e-02,2.270218552995e+01,9.414655643316e+01
T3_haut_diagonal,0.85,0.85,0.75,PID,True,False,163,8.476958032318e-03,7.500972328825e-02,3.305473869574e+01,1.180135195440e+02
T3_haut_diagonal,0.85,0.85,0.75,PID_gains_flous,True,False,192,9.885245795416e-03,5.035556638798e-02,3.194830942525e+01,1.185642673622e+02
T4_avant_droit,1.25,0.75,-0.2,PID,True,False,146,5.133169064984e-03,7.580587784245e-02,2.489681845078e+01,1.075836128344e+02
T4_avant_droit,1.25,0.75,-0.2,PID_gains_flous,True,False,232,2.659510974598e-03,7.801169780866e-02,3.862693004709e+01,1.092050763275e+02
T5_arriere_haut,0.7,-0.95,0.6,PID,True,False,194,5.541735160470e-03,7.972470684825e-02,2.515210699577e+01,1.078685273176e+02
T5_arriere_haut,0.7,-0.95,0.6,PID_gains_flous,True,False,205,2.194800516111e-03,7.973694788800e-02,2.548056438996e+01,1.091183824887e+02
