scenario,controller,action,external_torque,residual_torque,done,truncated,steps,final_distance,final_speed,mean_torque_norm,score
single_q1,action_axis_alignee,base,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0)",False,True,550,1.415872896973e-02,1.533338663888e-05,3.482581844858e+01,-2.070916522322e+02
single_q1,action_axis_alignee,q0_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.1, 0.0, 0.0, 0.0, 0.0)",False,True,550,1.461751209688e-02,1.533829407045e-05,3.482623666591e+01,-2.073063602424e+02
single_q1,action_axis_alignee,q1_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",True,False,255,1.662644553347e-04,7.886694905109e-02,4.830775346347e+01,-1.012659888619e+02
single_q1,action_axis_alignee,q2_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 3.0, 0.0, 0.0)",False,True,550,7.660319610274e-02,2.572561339088e-05,3.327514922034e+01,-2.332099684144e+02
single_q1,action_axis_alignee,q3_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 1.5, 0.0)",False,True,550,8.048286409507e-02,3.707464898661e-05,3.768081456208e+01,-3.026123879507e+02
single_q1,action_axis_alignee,q4_res+,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 1.0)",False,True,550,6.960353786578e-01,7.935801184835e-08,3.100921022455e+01,-5.350181327258e+02
single_q1,action_axis_alignee,q0_res-,"(0.0, -4.0, 0.0, 0.0, 0.0)","(-0.1, -0.0, -0.0, -0.0, -0.0)",False,True,550,1.461750592520e-02,1.532865934206e-05,3.482546555896e+01,-2.073137167617e+02
single_q1,action_axis_alignee,q1_res-,"(0.0, -4.0, 0.0, 0.0, 0.0)","(-0.0, -4.0, -0.0, -0.0, -0.0)",False,True,550,4.208837284328e-02,5.895861239035e-06,3.494399189956e+01,-2.189053247250e+02
single_q1,action_axis_alignee,q2_res-,"(0.0, -4.0, 0.0, 0.0, 0.0)","(-0.0, -0.0, -3.0, -0.0, -0.0)",False,True,550,1.108493529632e-01,4.854222086404e-04,3.667604230171e+01,-2.680329028002e+02
single_q1,action_axis_alignee,q3_res-,"(0.0, -4.0, 0.0, 0.0, 0.0)","(-0.0, -0.0, -0.0, -1.5, -0.0)",False,True,550,8.198403085003e-02,7.850834458034e-05,3.352763910577e+01,-2.253765899990e+02
single_q1,action_axis_alignee,q4_res-,"(0.0, -4.0, 0.0, 0.0, 0.0)","(-0.0, -0.0, -0.0, -0.0, -1.0)",False,True,550,7.239038487240e-01,1.111514399082e-05,3.530053130133e+01,-5.889828183266e+02
single_q1,compensation_multi_axes,multi_axis_reference,"(0.0, -4.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",True,False,255,1.662644553347e-04,7.886694905109e-02,4.830775346347e+01,-1.012659888619e+02
single_q2,action_axis_alignee,base,"(0.0, 0.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0)",False,True,550,8.366979075771e-02,4.283615712199e-05,3.404992276021e+01,-2.729975346565e+02
single_q2,action_axis_alignee,q0_res+,"(0.0, 0.0, -3.0, 0.0, 0.0)","(0.1, 0.0, 0.0, 0.0, 0.0)",False,True,550,8.373642910950e-02,4.283498473733e-05,3.405042258936e+01,-2.730382169389e+02
single_q2,action_axis_alignee,q1_res+,"(0.0, 0.0, -3.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",False,True,550,2.165715517119e-02,2.267554807729e-05,3.375173850638e+01,-2.446294521714e+02
single_q2,action_axis_alignee,q2_res+,"(0.0, 0.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 3.0, 0.0, 0.0)",True,False,270,5.034224172003e-04,7.928814005731e-02,4.646264081148e+01,-1.160345886686e+02
single_q2,action_axis_alignee,q3_res+,"(0.0, 0.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 1.5, 0.0)",False,True,550,1.406713288044e-01,8.418990612882e-03,3.706672807449e+01,-4.817554333325e+02
single_q2,action_axis_alignee,q4_res+,"(0.0, 0.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 1.0)",False,True,550,6.651900047801e-01,6.111557097157e-07,3.010986212730e+01,-5.468802527060e+02
single_q2,action_axis_alignee,q0_res-,"(0.0, 0.0, -3.0, 0.0, 0.0)","(-0.1, -0.0, -0.0, -0.0, -0.0)",False,True,550,8.373642801121e-02,4.283750718784e-05,3.404949320208e+01,-2.730335805993e+02
single_q2,action_axis_alignee,q1_res-,"(0.0, 0.0, -3.0, 0.0, 0.0)","(-0.0, -4.0, -0.0, -0.0, -0.0)",False,True,550,1.108339897657e-01,2.303001378070e-04,3.435910220246e+01,-2.810445418705e+02
single_q2,action_axis_alignee,q2_res-,"(0.0, 0.0, -3.0, 0.0, 0.0)","(-0.0, -0.0, -3.0, -0.0, -0.0)",False,True,550,1.101209237548e-01,1.060394511303e-03,3.599391199245e+01,-3.939796474851e+02
single_q2,action_axis_alignee,q3_res-,"(0.0, 0.0, -3.0, 0.0, 0.0)","(-0.0, -0.0, -0.0, -1.5, -0.0)",False,True,550,7.269714335291e-02,1.580633070950e-05,3.270054840441e+01,-2.410600748624e+02
single_q2,action_axis_alignee,q4_res-,"(0.0, 0.0, -3.0, 0.0, 0.0)","(-0.0, -0.0, -0.0, -0.0, -1.0)",False,True,550,6.455696524850e-01,1.098899495984e-06,3.269375469261e+01,-5.498434906882e+02
single_q2,compensation_multi_axes,multi_axis_reference,"(0.0, 0.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 3.0, 0.0, 0.0)",True,False,270,5.034224172003e-04,7.928814005731e-02,4.646264081148e+01,-1.160345886686e+02
multi_q1_q2,action_axis_alignee,base,"(0.0, -4.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0)",False,True,550,1.108478703725e-01,4.702342700631e-04,3.749188829711e+01,-2.928650657328e+02
multi_q1_q2,action_axis_alignee,q0_res+,"(0.0, -4.0, -3.0, 0.0, 0.0)","(0.1, 0.0, 0.0, 0.0, 0.0)",False,True,550,1.108969966393e-01,4.701517427085e-04,3.749230675942e+01,-2.928951407764e+02
multi_q1_q2,action_axis_alignee,q1_res+,"(0.0, -4.0, -3.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0)",False,True,550,8.366951370086e-02,5.007136836473e-05,3.720447345989e+01,-2.855301573334e+02
multi_q1_q2,action_axis_alignee,q2_res+,"(0.0, -4.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 3.0, 0.0, 0.0)",False,True,550,1.415881401474e-02,6.064397496202e-06,3.564302177188e+01,-2.335404607570e+02
multi_q1_q2,action_axis_alignee,q3_res+,"(0.0, -4.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 1.5, 0.0)",False,True,550,1.481877047588e+00,3.027924353296e+00,4.389536323271e+01,-8.645815295340e+02
multi_q1_q2,action_axis_alignee,q4_res+,"(0.0, -4.0, -3.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 1.0)",False,True,550,6.374476623731e-01,3.138275555311e-07,3.353477452347e+01,-5.406723144123e+02
multi_q1_q2,action_axis_alignee,q0_res-,"(0.0, -4.0, -3.0, 0.0, 0.0)","(-0.1, -0.0, -0.0, -0.0, -0.0)",False,True,550,1.108970076064e-01,4.703084831495e-04,3.749152222044e+01,-2.928892682897e+02
