scenario,controller,action,external_torque,residual_torque,done,truncated,steps,final_distance,final_speed,mean_torque_norm,score
single_q1,action_axis_alignee,base,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",False,True,360,1.133941849882e-01,2.491401160764e-02,5.601120259133e+01,-3.931638532579e+02
single_q1,action_axis_alignee,q0_res+,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(0.1, 0.0, 0.0, 0.0, 0.0, 0.0)",False,True,360,1.134621105939e-01,2.492391741857e-02,5.601124534634e+01,-3.931861691251e+02
single_q1,action_axis_alignee,q1_res+,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0, 0.0)",True,False,343,8.179210804245e-03,7.991536850556e-02,5.748565421292e+01,-2.752722398965e+02
single_q1,action_axis_alignee,q2_res+,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 3.0, 0.0, 0.0, 0.0)",False,True,360,4.305982568557e-02,1.438372345327e-01,5.524080795219e+01,-3.693538398756e+02
single_q1,action_axis_alignee,q3_res+,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 1.0, 0.0, 0.0)",False,True,360,8.286503028147e-02,8.509213240447e-02,5.779009036666e+01,-3.977537357095e+02
single_q1,action_axis_alignee,q4_res+,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 1.0, 0.0)",False,True,360,4.148838788025e-01,2.624022319392e-02,5.923515280541e+01,-5.080098693663e+02
single_q1,action_axis_alignee,q5_res+,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.8)",False,True,360,6.026007797795e-01,7.126508674218e-01,4.738725627486e+01,-4.737301521332e+02
single_q1,action_axis_alignee,q0_res-,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(-0.1, -0.0, -0.0, -0.0, -0.0, -0.0)",False,True,360,1.134621213388e-01,2.490045717363e-02,5.601117949299e+01,-3.931921659819e+02
single_q1,action_axis_alignee,q1_res-,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(-0.0, -4.0, -0.0, -0.0, -0.0, -0.0)",False,True,360,4.692939978602e-02,2.523419938652e-02,5.599032434092e+01,-3.730712914877e+02
single_q1,action_axis_alignee,q2_res-,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(-0.0, -0.0, -3.0, -0.0, -0.0, -0.0)",False,True,360,7.789101907130e-02,9.674221136007e-02,5.757671584070e+01,-3.928713997162e+02
single_q1,action_axis_alignee,q3_res-,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(-0.0, -0.0, -0.0, -1.0, -0.0, -0.0)",False,True,360,6.050891946780e-02,8.192929759120e-02,5.549860379409e+01,-3.650019186444e+02
single_q1,action_axis_alignee,q4_res-,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(-0.0, -0.0, -0.0, -0.0, -1.0, -0.0)",False,True,360,2.631653278249e-01,6.600016533569e-02,5.371149482853e+01,-4.084283969523e+02
single_q1,action_axis_alignee,q5_res-,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(-0.0, -0.0, -0.0, -0.0, -0.0, -0.8)",False,True,360,5.872416338636e-01,2.812050210927e-02,5.757348912365e+01,-5.893969610456e+02
single_q1,action_factorisee,q1_res+,"(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 4.0, 0.0, 0.0, 0.0, 0.0)",True,False,343,8.179210804245e-03,7.991536850556e-02,5.748565421292e+01,-2.752722398965e+02
single_q1,action_factorisee,"q0_res+,q1_res+","(0.0, -4.0, 0.0, 0.0, 0.0, 0.0)","(0.1, 4.0, 0.0, 0.0, 0.0, 0.0)",True,False,344,9.074564269578e-03,7.714946265332e-02,5.738597769519e+01,-2.754822322865e+02
